parent_atom,functionalized_atom,element,region,label
1,1,C,core,C1
2,2,C,core,C2
3,3,C,core,C3
4,4,C,core,C4
5,5,C,core,C5
6,6,C,core,C6
7,7,C,middle,C7
8,8,C,middle,C8
9,9,C,middle,C9
10,10,C,middle,C10
11,11,C,middle,C11
12,12,C,middle,C12
13,13,C,middle,C13
14,14,C,middle,C14
15,15,C,middle,C15
16,16,C,middle,C16
17,17,C,middle,C17
18,18,C,middle,C18
19,19,C,middle,C19
20,20,C,middle,C20
21,21,C,outer,C21
22,22,N,imide,N1
23,23,C,outer,C22
24,24,C,outer,C23
25,25,N,imide,N2
26,26,C,outer,C24
27,27,O,carbonyl,O1
28,28,O,carbonyl,O2
29,29,O,carbonyl,O3
30,30,O,carbonyl,O4
31,,H,imide,H1
32,,H,imide,H2
33,41,H,middle,H3
34,42,H,outer,H4
35,43,H,outer,H5
36,44,H,middle,H6
37,45,H,middle,H7
38,46,H,outer,H8
39,47,H,outer,H9
40,48,H,middle,H10
