system,system_label,pair_label,s1_energy_ev,triplet_energy_ev,delta_e_s1_minus_tn_ev,absolute_delta_e_ev,soc_cm1,soc_squared_over_delta_e_squared
pdi,Parent PDI,S1-T1,2.763476,1.617,1.1464759999999998,1.1464759999999998,0.09,0.006162473764238273
pdi,Parent PDI,S1-T2,2.763476,2.949,-0.18552400000000002,0.18552400000000002,0.0141421356237309,0.005810717969797427
pdi,Parent PDI,S1-T3,2.763476,3.078,-0.314524,0.314524,0.01,0.0010108632768162644
pdi,Parent PDI,S1-T4,2.763476,3.294,-0.5305240000000002,0.5305240000000002,0.0,0.0
pdi,Parent PDI,S1-T5,2.763476,3.388,-0.6245240000000001,0.6245240000000001,0.0781024967590665,0.015639813492279078
pdi,Parent PDI,S1-T6,2.763476,4.196,-1.432524,1.432524,0.0714142842854285,0.002485228713512199
pdi,Parent PDI,S1-T7,2.763476,4.245,-1.4815240000000003,1.4815240000000003,0.0282842712474619,0.0003644790786006704
pdi,Parent PDI,S1-T8,2.763476,4.339,-1.5755240000000006,1.5755240000000006,0.0728010988928051,0.002135137377067439
pdi,Parent PDI,S1-T9,2.763476,4.341,-1.5775240000000004,1.5775240000000004,10.630489170306324,45.41031854130312
pdi,Parent PDI,S1-T10,2.763476,4.413,-1.6495240000000004,1.6495240000000004,0.0223606797749978,0.00018376073819349008
pdi_terminal_functionalized,Functionalized PDI,S1-T1,2.748061,1.605,1.1430609999999999,1.1430609999999999,0.0519615242270663,0.0020664502281315424
pdi_terminal_functionalized,Functionalized PDI,S1-T2,2.748061,2.935,-0.1869390000000002,0.1869390000000002,0.05,0.07153855742097359
pdi_terminal_functionalized,Functionalized PDI,S1-T3,2.748061,3.089,-0.3409390000000001,0.3409390000000001,0.0,0.0
pdi_terminal_functionalized,Functionalized PDI,S1-T4,2.748061,3.311,-0.5629390000000001,0.5629390000000001,0.04,0.00504890626650821
pdi_terminal_functionalized,Functionalized PDI,S1-T5,2.748061,3.409,-0.6609389999999999,0.6609389999999999,0.0721110255092797,0.011903661968216
pdi_terminal_functionalized,Functionalized PDI,S1-T6,2.748061,4.2,-1.4519390000000003,1.4519390000000003,0.1048808848170151,0.005217902304729317
pdi_terminal_functionalized,Functionalized PDI,S1-T7,2.748061,4.201,-1.4529389999999998,1.4529389999999998,0.1157583690279022,0.006347607077886089
pdi_terminal_functionalized,Functionalized PDI,S1-T8,2.748061,4.232,-1.4839390000000003,1.4839390000000003,0.130384048104053,0.007719991527006801
pdi_terminal_functionalized,Functionalized PDI,S1-T9,2.748061,4.251,-1.5029390000000005,1.5029390000000005,0.0818535277187245,0.0029661430648360437
pdi_terminal_functionalized,Functionalized PDI,S1-T10,2.748061,4.253,-1.5049390000000002,1.5049390000000002,10.579763702465192,49.42129736338989
