system,source_file,line,label,value,raw_line
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,21,Derived global surface minimum (a.u.),-0.04903218,*   19 -0.04903218   -1.334233  -30.768182       6.983132  -3.443218  -0.034141
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,26,Derived global surface maximum (a.u.),0.0624384,*    1  0.06243840    1.699035   39.180722      -7.884733   0.015418   0.009944
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,209,Isosurface area,1854.60999,Isosurface area:  1854.60999 Bohr^2  ( 519.34369 Angstrom^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,323,Global surface minimum,-0.048156,Global surface minimum: -0.048156 a.u. at  -6.531101   3.751433  -0.054162 Ang
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,324,Global surface maximum,0.053257,Global surface maximum:  0.053257 a.u. at  -0.032349   4.501467  -0.140451 Ang
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,396,Overall surface area,1854.60999,Overall surface area:        1854.60999 Bohr^2  ( 519.34369 Angstrom^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,397,Positive surface area,1272.70401,Positive surface area:       1272.70401 Bohr^2  ( 356.39342 Angstrom^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,398,Negative surface area,581.90598,Negative surface area:        581.90598 Bohr^2  ( 162.95027 Angstrom^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,399,Overall average value,0.00363045,Overall average value:    0.00363045 a.u. (      2.27815 kcal/mol)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,400,Positive average value,0.01215072,Positive average value:   0.01215072 a.u. (      7.62470 kcal/mol)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,401,Negative average value,-0.01500447,Negative average value:  -0.01500447 a.u. (     -9.41545 kcal/mol)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,402,Overall variance (sigma^2_tot),0.0003534,Overall variance (sigma^2_tot):  0.00035340 a.u.^2 (   139.15791 (kcal/mol)^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,403,Positive variance,0.00010717,Positive variance:        0.00010717 a.u.^2 (     42.20020 (kcal/mol)^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,404,Negative variance,0.00024623,Negative variance:        0.00024623 a.u.^2 (     96.95771 (kcal/mol)^2)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,405,Balance of charges (nu),0.21129103,Balance of charges (nu):   0.21129103
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,407,Internal charge separation (Pi),0.01208338,Internal charge separation (Pi):   0.01208338 a.u. (      7.58244 kcal/mol)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,408,Molecular polarity index (MPI),0.35500283,Molecular polarity index (MPI):   0.35500283 eV (      8.18657 kcal/mol)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,409,Nonpolar surface area (|ESP| <,10.0,Nonpolar surface area (|ESP| <= 10 kcal/mol):    373.16 Angstrom^2  ( 71.85 %)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,410,Polar surface area (|ESP| > 10 kcal/mol),146.18,Polar surface area (|ESP| > 10 kcal/mol):        146.18 Angstrom^2  ( 28.15 %)
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,411,Overall skewness,-0.5805819254,Overall skewness:        -0.5805819254
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,412,Positive skewness,1.5029182953,Positive skewness:        1.5029182953
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,413,Negative skewness,-0.7887442236,Negative skewness:       -0.7887442236
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalized_esp_surface.session.log,418,Citation of molecular polarity index (MPI),171.0,"Citation of molecular polarity index (MPI): Carbon, 171, 514 (2021) DOI: 10.1016/j.carbon.2020.09.048"
