system,source_file,line,extremum_type,x,y,z,esp_value,raw_line,esp_value_ev,rank
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,26,maximum,-7.884733,0.015418,0.009944,0.0624384,*    1  0.06243840    1.699035   39.180722      -7.884733   0.015418   0.009944,1.6990354189814971,1
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,43,maximum,7.878873,0.030652,0.022545,0.06242828,18  0.06242828    1.698760   39.174373       7.878873   0.030652   0.022545,1.6987600397526879,2
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,33,maximum,0.016212,-4.520202,-0.010639,0.0583974,8  0.05839740    1.589074   36.644951       0.016212  -4.520202  -0.010639,1.5890742071614596,3
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,36,maximum,0.047302,4.520138,0.010253,0.05835367,11  0.05835367    1.587884   36.617511       0.047302   4.520138   0.010253,1.5878842532409225,4
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,28,maximum,-4.406523,-0.003566,1.64545,0.03330444,3  0.03330444    0.906260   20.898871      -4.406523  -0.003566   1.645450,0.9062599805463325,5
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,41,maximum,4.362539,-0.003566,-1.65562,0.03330141,16  0.03330141    0.906178   20.896970       4.362539  -0.003566  -1.655620,0.9061775300460071,6
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,27,maximum,-4.398997,-0.003566,-1.654382,0.03325713,2  0.03325713    0.904972   20.869180      -4.398997  -0.003566  -1.654382,0.904972609863035,7
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,42,maximum,4.393365,0.028403,1.644104,0.03322245,17  0.03322245    0.904029   20.847422       4.393365   0.028403   1.644104,0.9040289189880241,8
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,35,maximum,-0.0042,-0.016122,1.663225,0.02782091,10  0.02782091    0.757045   17.457900      -0.004200  -0.016122   1.663225,0.75704552772487,9
pdi,calculations/pdi/multiwfn_analysis/esp/pdi_esp_surface_statistics.txt,34,maximum,0.062783,0.026176,-1.677894,0.02767934,9  0.02767934    0.753193   17.369060       0.062783   0.026176  -1.677894,0.7531932117740254,10
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,49,maximum,-0.032349,4.501467,-0.140451,0.05325668,*   17  0.05325668    1.449188   33.419102      -0.032349   4.501467  -0.140451,1.4491880896589842,1
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,50,maximum,0.075817,-4.529422,-0.157337,0.05317788,18  0.05317788    1.447044   33.369650       0.075817  -4.529422  -0.157337,1.4470438324228,2
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,55,maximum,4.346482,0.005879,1.472317,0.02731142,23  0.02731142    0.743182   17.138190       4.346482   0.005879   1.472317,0.7431815985464015,3
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,41,maximum,-4.429653,-0.157113,1.5392,0.02730674,9  0.02730674    0.743054   17.135254      -4.429653  -0.157113   1.539200,0.7430542492587703,4
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,42,maximum,-4.413618,-0.150425,-1.873888,0.02721729,10  0.02721729    0.740620   17.079124      -4.413618  -0.150425  -1.873888,0.7406201907590667,5
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,56,maximum,4.421481,0.102002,-1.922832,0.02714875,24  0.02714875    0.738755   17.036112       4.421481   0.102002  -1.922832,0.7387551223457667,6
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,47,maximum,-0.039463,-0.010814,-1.861676,0.0216457,15  0.02164570    0.589010   13.582896      -0.039463  -0.010814  -1.861676,0.5890095032647824,7
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,48,maximum,-0.012479,0.012362,1.482342,0.02162667,16  0.02162667    0.588492   13.570950      -0.012479   0.012362   1.482342,0.5884916705845213,8
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,33,maximum,-10.15131,-0.032253,-1.104727,0.01503201,1  0.01503201    0.409042    9.432736     -10.151310  -0.032253  -1.104727,0.40904183016355405,9
pdi_terminal_functionalized,calculations/pdi_terminal_functionalized/multiwfn_analysis/esp/pdi_terminal_functionalizd_esp_surface_statistics.txt,64,maximum,10.145328,-0.014111,0.773011,0.01502404,32  0.01502404    0.408825    9.427733      10.145328  -0.014111   0.773011,0.40882495541517355,10
